,interest,vaccancy,cpi,price,value,adj_price
2015-03-28,3.69,7.1,235.976,208000.0,184021.0006608284,88144.5570736007
2015-04-04,3.7,6.8,236.222,212000.0,185787.41700111385,89746.08630864187
2015-04-11,3.66,6.8,236.222,199000.0,185787.41700111385,84242.78856330062
2015-04-18,3.67,6.8,236.222,220000.0,185787.41700111385,93132.73107500571
2015-04-25,3.65,6.8,236.222,210000.0,185787.41700111385,88899.42511705091
2015-05-02,3.68,6.8,236.222,218000.0,189544.084192416,92286.06988341475
2015-05-09,3.8,6.8,237.001,220000.0,189544.084192416,92826.61254593862
2015-05-16,3.85,6.8,237.001,220000.0,189544.084192416,92826.61254593862
2015-05-23,3.84,6.8,237.001,227500.0,189544.084192416,95991.15615545926
2015-05-30,3.87,6.8,237.001,225000.0,189544.084192416,94936.30828561904
2015-06-06,3.87,6.8,237.657,222000.0,192634.95569844692,93411.93400573095
2015-06-13,4.04,6.8,237.657,228750.0,192634.95569844692,96252.16172887817
2015-06-20,4.0,6.8,237.657,229000.0,192634.95569844692,96357.35534825399
2015-06-27,4.02,6.8,237.657,230000.0,192634.95569844692,96778.12982575729
2015-07-04,4.08,7.3,238.034,233081.0,195195.3281284101,97919.20481947956
2015-07-11,4.04,7.3,238.034,220000.0,195195.3281284101,92423.77139400254
2015-07-18,4.09,7.3,238.034,234500.0,195195.3281284101,98515.3381449709
2015-07-25,4.04,7.3,238.034,220000.0,195195.3281284101,92423.77139400254
2015-08-01,3.98,7.3,238.034,227000.0,196719.8192095697,95364.52775653898
2015-08-08,3.91,7.3,238.033,219750.0,196719.8192095697,92319.13222116261
2015-08-15,3.94,7.3,238.033,230000.0,196719.8192095697,96625.25784240001
2015-08-22,3.93,7.3,238.033,220000.0,196719.8192095697,92424.15967533913
